,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,029B103A,3,0,0,2,30,1,0,0,0,14,25,0,79,0,0,0,5,7,56,4,6,0,11,0,243
,029B103B,2,0,1,0,26,2,0,0,4,12,17,0,109,0,0,1,3,7,97,9,7,0,15,2,314
,029B104,0,0,0,0,8,0,0,0,0,93,11,0,20,0,0,0,0,29,98,10,4,0,0,0,273
,029B105,15,0,0,0,18,0,0,0,1,65,40,0,63,0,0,0,2,17,212,8,0,0,2,0,443
,029B106,11,0,0,0,44,2,0,0,2,19,24,0,167,1,0,0,0,12,111,18,2,0,18,0,431
,029B107,0,1,6,0,30,31,0,0,2,8,40,0,124,3,1,0,2,14,98,7,8,0,7,0,382
,029B108A,3,0,0,0,136,0,0,0,0,10,68,0,89,0,0,0,0,12,125,9,3,0,1,1,457
,029B108B,10,0,0,0,93,0,0,0,0,1,84,0,55,0,0,0,0,3,92,7,4,0,0,0,349
,029B109,1,0,0,0,9,0,0,0,1,1,25,0,17,0,0,0,0,5,12,16,0,0,0,0,87
,029B110,0,0,0,0,38,0,0,0,1,12,22,0,39,0,0,0,0,13,27,1,0,0,2,0,155
,029B111,10,0,0,0,62,1,0,0,0,24,41,0,130,0,1,0,0,10,126,17,9,0,7,0,438
,029B112,15,0,3,1,47,2,0,0,1,12,85,0,80,0,0,0,5,25,136,17,1,0,5,0,435
,029B113,1,1,0,0,45,1,0,0,1,11,29,0,106,4,0,0,0,14,95,7,6,0,10,0,331
,029B114A,4,0,1,0,14,7,0,0,3,6,16,0,76,2,1,0,2,15,45,1,1,0,8,0,202
,029B114B,3,0,0,4,30,8,0,0,0,19,16,0,88,0,0,0,1,9,66,8,2,0,5,0,259
,029B115,1,0,0,0,39,0,0,0,0,10,93,0,95,0,0,0,0,4,92,6,1,0,10,0,351
,029B116,1,0,0,1,30,4,0,0,0,16,27,1,101,0,0,1,5,18,63,8,3,0,17,0,296
,029B117,2,0,0,0,53,12,0,0,2,22,54,0,145,1,0,0,7,13,95,26,12,0,8,0,452
,029B118,0,1,2,0,19,22,0,0,3,6,19,0,66,5,0,0,2,4,42,13,3,0,6,0,213
,029B119,6,0,3,1,45,18,0,0,6,17,37,1,98,3,1,0,0,21,122,12,5,1,22,0,419
,029B120,6,0,1,1,16,7,0,0,7,21,47,0,111,5,1,0,3,13,84,4,5,1,7,0,340
,029B121,3,0,0,0,36,16,0,0,2,24,43,0,91,1,0,0,2,17,144,10,8,0,8,0,405
,029B122,3,1,0,0,51,0,0,0,3,15,54,0,114,1,1,0,2,16,127,5,10,0,6,0,409
,029B123,3,0,0,1,44,0,0,0,5,16,29,0,178,1,1,0,2,21,128,10,7,0,10,0,456
,029B124,2,0,3,0,29,12,0,0,0,12,12,0,42,2,2,0,0,14,52,1,1,0,2,0,186
,029B125,4,1,2,0,43,22,0,0,1,10,23,0,65,8,0,0,3,5,69,4,11,0,6,0,277
,029B126,3,1,2,1,48,4,0,0,3,18,48,0,130,4,1,0,3,9,104,4,8,0,9,0,400
,029B127,0,1,3,0,2,111,0,0,0,0,1,0,6,3,0,0,0,2,9,0,0,0,0,0,138
,029B128,2,0,0,0,23,0,0,0,0,11,20,0,31,0,0,0,1,2,54,8,3,0,1,0,156
,029B129,2,0,3,0,20,19,0,0,1,2,24,0,46,2,0,0,1,10,55,12,2,0,6,0,205
,029B130,3,0,1,0,43,0,0,0,1,19,46,0,130,2,1,0,1,47,172,7,5,0,8,0,486
,054B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,054B001,0,0,0,1,5,0,0,0,0,2,33,0,119,0,0,0,0,3,28,0,0,0,0,0,191
,054B002,0,0,5,0,2,76,0,0,1,2,1,0,5,47,0,0,0,0,12,0,0,0,0,0,151
,054B003,1,0,0,0,17,0,0,0,0,4,23,0,128,0,0,0,0,33,214,1,0,1,1,0,423
,054B004,1,0,0,0,23,0,0,0,0,1,29,0,128,6,0,0,0,19,175,1,3,0,3,0,389
,054B005,0,0,0,0,7,0,0,0,0,2,33,0,83,0,0,0,2,71,268,1,2,0,1,0,470
,054B006,0,0,0,0,19,0,0,0,0,0,23,0,36,0,0,0,0,25,126,1,3,0,0,0,233
,054B007,0,0,0,0,8,0,0,0,0,4,22,0,82,0,0,0,0,5,229,0,0,0,0,0,350
,054B008,4,0,0,0,7,0,0,0,0,2,132,0,74,4,0,0,0,29,137,0,0,0,0,0,389
,054B009,1,0,0,0,7,0,0,0,0,4,45,0,61,0,0,0,0,23,102,0,3,0,0,0,246
,054B010A,0,0,0,0,34,0,0,0,0,25,36,0,178,0,0,0,0,25,272,0,0,0,0,0,570
,054B010B,0,0,0,0,5,0,0,0,1,12,14,0,65,0,0,0,0,7,131,1,0,0,1,0,237
,054B011,2,0,0,0,21,0,0,0,0,3,67,0,107,0,0,0,1,10,98,3,0,0,0,0,312
,054B012,1,0,0,0,2,0,0,0,0,2,17,0,75,0,0,0,0,49,128,1,1,0,0,0,276
,054B013,0,0,0,0,5,0,0,0,0,3,13,0,75,0,0,0,0,5,134,2,0,0,0,0,237
,054B014,0,0,0,0,82,0,0,0,1,6,27,0,244,0,0,0,1,36,233,4,0,0,3,0,637
,054B015,3,0,0,0,13,0,0,0,1,2,53,0,117,0,0,0,1,25,120,1,0,0,3,0,339
,054B016,0,0,0,0,14,0,0,0,1,2,20,0,62,1,2,1,0,26,201,1,2,0,0,0,333
,054B017,0,0,0,0,7,0,0,0,0,3,6,0,67,0,0,0,0,8,93,0,0,0,1,0,185
,054B018,0,0,0,0,15,0,0,0,0,0,78,0,19,0,0,0,0,3,67,0,0,0,0,0,182
,054B019,0,0,0,0,19,0,0,0,0,2,10,0,126,0,0,0,0,23,134,3,0,0,0,0,317
,054B020,1,0,0,0,1,0,0,0,1,4,22,0,25,0,0,0,4,6,172,0,1,1,0,0,238
,054B021,0,0,0,0,1,0,0,0,0,0,11,0,27,0,0,0,0,12,40,0,1,0,0,0,92
,054B022,0,0,0,0,12,0,0,0,0,0,20,0,66,0,0,0,0,25,102,4,1,0,0,0,230
,056B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,056B001,3,0,0,0,32,1,0,0,1,17,37,0,199,0,0,2,3,15,160,2,3,0,3,0,478
,056B002,7,0,0,0,26,0,0,0,0,20,31,0,177,1,0,0,2,30,180,0,1,0,5,0,480
,056B003,4,0,0,0,81,0,0,0,0,0,40,0,280,2,0,0,2,18,207,5,1,0,3,1,644
,056B004,6,0,0,0,41,1,0,0,0,29,36,0,181,1,1,0,1,38,143,0,0,0,6,0,484
,056B005,3,0,0,0,21,0,0,0,0,7,14,0,159,0,0,0,0,25,148,2,0,0,5,0,384
,056B006,1,0,0,0,29,0,0,0,0,34,22,0,171,0,1,0,1,13,220,4,0,0,4,0,500
,056B007,1,0,0,0,40,0,0,0,0,12,7,0,118,0,0,0,0,6,122,0,0,0,2,0,308
,056B008,0,0,0,0,2,196,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,208
,056B009,0,0,0,0,0,126,0,0,0,2,1,0,7,3,0,0,0,0,1,0,0,0,0,0,140
,056B010,6,0,0,0,68,0,0,0,0,30,24,0,185,0,0,0,0,26,301,1,15,0,1,0,657
,056B011,0,0,0,0,22,0,0,0,0,34,27,0,204,0,0,0,0,6,98,1,0,0,1,0,393
,056B012,0,0,0,0,1,0,0,0,0,4,4,0,61,0,0,0,1,11,94,1,0,0,0,0,177
,056B013,0,0,0,0,3,0,0,0,0,0,1,0,87,0,0,0,2,10,96,0,0,0,0,1,200
,056B014,1,0,0,0,74,0,0,0,0,22,27,0,224,0,0,0,0,39,275,4,0,0,0,1,667
,056B015,0,0,0,0,15,0,0,0,0,16,16,0,93,0,0,0,0,3,109,1,0,0,5,0,258
,056B016A,0,0,0,0,35,0,0,0,1,8,40,0,105,0,0,0,0,0,148,1,0,0,0,0,338
,056B016B,0,0,0,0,23,0,0,0,0,2,35,0,72,0,0,0,1,6,162,0,0,0,0,0,301
,056B017,0,0,0,0,22,0,0,0,0,0,7,0,111,0,1,0,0,3,169,1,1,0,2,0,317
,056B018A,0,0,0,0,7,0,0,0,0,29,14,0,169,0,0,0,1,78,63,4,0,0,0,0,365
,056B018B,0,0,0,0,10,0,0,0,0,20,8,0,175,0,0,0,0,38,65,0,0,0,0,0,316
,056B019,0,0,0,0,0,1,0,0,0,25,0,0,29,0,0,0,0,14,28,0,0,0,0,0,97
,056B020,0,0,0,0,0,1,0,0,0,9,0,0,53,0,0,0,0,1,83,0,0,0,1,0,148
,056B021,1,0,0,0,18,0,0,0,0,11,21,0,193,0,0,0,2,15,345,2,0,0,0,0,608
,056B022,0,1,1,0,0,116,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,131
,056B023,0,0,0,0,0,62,0,0,0,9,0,0,16,22,0,0,0,0,8,0,0,0,0,0,117
,056B024,0,0,0,0,2,0,0,0,0,3,3,0,41,0,0,0,0,21,63,0,0,0,0,0,133
,056B025,0,0,0,0,4,0,0,0,1,53,2,0,50,0,0,0,1,6,102,0,0,0,0,0,219
,056B026,0,0,0,0,95,0,0,0,0,0,0,0,47,0,0,0,0,0,62,0,0,0,0,0,204
,056B027,1,0,0,0,38,1,0,0,1,23,30,0,164,0,0,0,3,18,142,7,4,1,4,0,437
,200C001R,0,0,0,0,8,0,0,2,0,30,10,0,57,0,0,0,0,10,72,1,4,0,2,0,196
,200C002R,2,0,0,0,2,0,0,1,0,24,4,0,27,0,0,0,3,12,44,0,2,0,0,0,121
,200C003R,0,0,1,1,0,0,0,0,0,1,2,0,20,1,0,1,3,7,62,2,8,0,2,0,111
,200C004R,0,0,0,0,2,2,0,2,0,1,3,0,21,0,0,0,2,10,17,0,1,0,2,0,63
,200C005R,0,0,0,0,0,0,0,0,1,3,0,0,7,0,0,0,0,2,1,0,0,0,0,0,14
,200C006R,1,0,0,0,6,1,0,0,0,12,6,0,46,2,1,0,1,20,71,0,0,0,1,0,168
,200C007R,0,0,0,0,5,0,0,1,0,15,13,0,35,3,0,0,1,16,51,4,1,0,0,0,145
,200C008R,0,0,0,0,3,0,0,0,2,6,11,0,43,1,0,0,2,12,50,3,0,0,0,0,133
,200C009R,1,0,0,0,8,2,0,0,1,29,4,0,31,2,1,0,2,10,58,1,2,0,0,0,152
,200C010R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,200C011R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,200C012R,1,3,3,1,3,13,0,0,0,4,19,0,52,13,0,0,6,10,67,3,1,0,0,0,199
,200C013R,6,0,0,0,4,0,0,0,0,2,43,0,14,0,0,0,3,3,29,1,0,0,0,0,105
,200C014BR,0,0,3,0,0,1,0,0,0,2,2,0,2,5,0,0,0,0,0,0,0,0,0,0,15
,200C015R,0,0,1,0,0,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,10
,200C016R,0,1,12,0,1,7,0,0,0,2,0,0,0,24,0,0,0,0,15,0,0,0,0,0,62
,200C017R,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
,200C018R,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,1,9,14,0,0,0,0,0,33
,200C019R,1,0,0,0,1,0,0,0,0,11,5,0,83,0,0,0,1,9,32,2,2,0,0,0,147
,200C020R,0,0,0,0,1,1,0,0,0,12,6,0,24,3,0,0,10,11,29,0,2,0,0,0,99
,200C021R,3,0,1,0,5,0,0,0,0,12,8,0,45,8,0,0,2,9,94,4,1,0,1,0,193
,200C022R,2,0,0,0,8,4,0,1,1,5,4,0,24,5,0,0,3,4,48,1,0,0,0,0,110
,200C023R,0,0,0,0,9,3,0,2,0,4,6,0,26,2,0,0,4,10,58,0,1,0,4,0,129
,200C024R,2,0,0,0,10,1,0,2,1,15,4,0,53,3,0,0,1,14,80,1,9,0,1,1,198
,200C025R,1,0,1,1,3,1,0,1,0,30,5,0,47,5,0,0,5,29,73,6,3,0,0,1,212
,200C026R,0,0,0,0,10,1,0,1,1,23,18,0,50,3,0,0,8,7,84,2,1,1,0,0,210
,200C027R,0,0,1,0,2,0,0,4,0,9,4,0,38,3,0,0,10,12,53,2,3,0,1,0,142
,200C028R,0,0,0,0,4,0,0,0,1,9,11,0,34,5,0,0,2,14,53,4,1,0,3,1,142
,200C029R,7,0,0,0,1,1,0,0,0,1,0,0,12,6,0,0,1,4,20,1,0,0,1,0,55
,200C030R,0,0,0,0,5,3,0,0,1,11,5,0,23,6,1,0,2,14,38,2,3,1,1,0,116
,200C031R,0,0,0,0,2,1,0,1,0,1,0,1,8,3,0,0,4,3,7,0,1,0,0,0,32
,200C032R,1,0,0,0,2,2,0,0,0,3,2,0,20,1,0,0,1,5,39,8,1,0,0,0,85
,200C033R,0,0,0,0,0,0,0,0,0,7,2,0,6,1,0,0,0,1,19,0,1,0,0,1,38
,200C035R,0,0,3,0,0,2,0,0,0,0,1,0,1,4,0,0,0,1,3,0,0,0,0,0,15
,200C036R,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,200C037R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C038R,1,0,1,1,13,0,0,1,0,57,32,0,131,0,1,0,4,31,179,4,1,1,2,0,460
,200C039R,0,0,0,0,2,4,0,2,0,1,0,0,2,0,0,0,0,16,4,0,0,0,0,0,31
,200C040R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C041R,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
,200C042R,2,0,0,0,5,0,0,0,0,0,2,0,36,2,0,0,1,19,34,3,1,0,0,0,105
,200C043R,0,0,1,0,1,1,0,1,0,4,0,0,19,2,0,0,2,6,24,0,0,0,0,0,61
,200C044R,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,6,16,0,0,0,0,0,46
,200C045R,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,200C046R,0,0,0,0,0,0,0,0,0,48,8,0,8,0,0,0,2,7,3,0,10,0,0,0,86
,200C047R,1,0,0,0,6,0,0,0,0,40,47,0,60,0,0,0,0,4,72,2,0,0,3,0,235
,200C048BR,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,200C049R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,200C050R,2,0,0,3,11,1,1,0,2,14,12,0,131,1,0,0,11,186,172,6,9,0,0,0,562
,200C051R,0,0,0,1,3,0,0,0,1,20,16,0,56,0,1,0,6,33,63,0,2,0,0,1,203
,200C052R,2,0,0,1,5,0,1,0,0,12,5,0,38,1,0,0,1,17,62,0,0,0,1,0,146
,200C053R,5,0,1,0,5,2,0,0,1,22,7,0,37,3,0,0,6,31,88,7,1,0,4,0,220
,200C054R,6,0,0,0,2,3,0,0,0,12,15,0,36,3,0,0,3,20,80,0,0,0,2,0,182
,200C055R,6,0,1,1,4,0,0,0,0,9,7,0,39,4,0,0,4,43,94,2,1,0,3,0,218
,200C056R,3,0,0,0,8,0,0,0,0,30,41,0,139,0,0,0,1,10,158,5,1,0,4,0,400
,200C057R,0,0,0,0,21,0,1,0,1,33,10,0,143,2,0,0,7,20,240,4,0,0,4,0,486
,200C058R,0,0,1,0,0,4,0,0,0,2,1,0,15,1,0,0,0,11,20,0,0,0,0,0,55
,200C059R,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,9
,200C060R,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,8
,200C061R,0,0,2,0,0,3,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,12
,200C062R,0,0,2,0,0,3,0,0,1,9,13,0,26,6,0,0,0,8,18,3,0,0,1,0,90
,200C063R,0,1,6,0,0,7,0,1,1,2,1,3,9,13,0,0,0,4,14,0,3,0,1,0,66
,200C064R,0,0,0,0,5,0,0,0,0,7,8,0,13,0,0,0,13,8,66,0,0,0,0,0,120
,200C065R,0,0,0,0,4,0,0,1,0,22,2,0,45,1,0,0,4,7,67,3,0,0,0,0,156
,200C066R,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,6,0,4,0,0,0,26
,200C067BR,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,200C068R,1,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,8,6,0,0,0,0,0,21
,200C069R,0,0,1,0,1,0,0,1,0,3,2,0,15,3,0,0,0,3,7,2,0,0,0,0,38
,200C070R,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,3,13,1,0,0,0,0,24
,200C071R,0,1,1,0,0,3,0,0,1,5,5,0,15,4,0,0,1,7,38,0,1,0,1,0,83
,200C072R,0,0,1,0,0,2,0,0,0,4,5,0,15,1,0,0,0,6,21,0,0,0,0,1,56
,200C073R,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
,200C074R,0,1,0,0,0,4,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13
,200C075R,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,200C076R,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,200C077R,9,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,3,66,0,0,0,0,0,98
,200C078R,2,0,0,0,2,0,0,0,0,150,13,0,49,1,0,0,11,27,118,1,2,1,1,1,379
,200C079R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,200C080R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C081R,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
,200C082R,0,0,0,0,3,0,0,0,0,7,9,0,35,0,0,0,4,4,33,1,0,0,0,0,96
,200C083R,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,13
,200C084R,0,0,0,0,0,0,0,0,0,18,5,0,41,0,0,0,22,10,111,0,1,0,2,0,210
,200C085R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,200C086R,0,0,0,0,0,0,0,0,0,11,4,0,21,0,0,0,61,7,19,7,0,0,0,0,130
,200C087R,0,0,0,0,4,0,0,2,0,18,4,0,38,4,0,0,4,13,63,1,4,0,0,0,155
,200C088R,1,0,0,0,5,0,0,1,0,15,9,0,39,2,0,0,3,27,86,1,3,0,1,0,193
,200C089R,3,0,0,0,9,0,0,0,0,22,14,0,68,4,0,0,4,27,75,7,1,0,0,0,234
,200C090R,0,0,0,0,6,0,1,0,0,32,9,0,85,1,0,0,3,34,105,1,7,0,0,0,284
,200C091R,6,0,0,0,0,0,0,0,0,13,8,0,29,5,0,0,5,12,38,2,5,0,2,0,125
,200C092R,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,200C093R,0,0,2,0,0,3,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,12
,200C094R,2,0,0,0,2,0,1,1,0,16,21,0,58,0,2,0,8,8,86,2,0,0,1,0,208
,200C095R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,200C096R,0,0,0,0,1,0,0,0,0,17,2,0,26,0,0,0,12,18,44,3,1,0,0,0,124
,200C097R,0,0,0,0,0,0,0,2,0,0,5,0,7,0,0,0,0,14,17,0,0,0,1,0,46
,200C098R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C099R,0,0,0,0,0,0,3,0,0,2,1,0,2,0,0,0,0,3,16,0,0,0,0,0,27
,200C100R,1,0,0,0,0,0,0,0,0,4,4,0,40,1,0,0,2,7,48,2,0,0,0,0,109
,200C101R,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,200C102R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,200C103R,1,0,0,2,9,0,0,1,0,5,0,0,38,1,0,0,0,5,42,1,0,0,1,0,106
,200C104R,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5
,200C105R,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,7
,200C106R,0,0,0,0,2,0,0,0,0,14,4,0,66,1,0,0,5,14,50,0,2,0,3,0,161
,200C108R,1,0,0,0,1,0,0,0,0,7,10,0,26,0,0,0,0,0,77,1,1,0,0,0,124
,200C109R,0,0,1,0,0,5,0,0,0,0,2,0,5,3,0,0,0,1,1,0,0,0,1,0,19
,200C110R,0,0,0,0,1,0,0,0,0,3,5,0,14,0,0,0,0,4,33,1,0,0,1,0,62
,200C111R,0,0,3,0,0,1,0,0,0,4,0,1,3,3,0,0,0,3,4,0,0,0,0,0,22
,200C112R,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,200C113R,0,0,0,0,0,1,0,0,0,13,6,0,42,0,0,0,2,12,79,4,6,0,1,0,166
,200C114R,0,0,2,0,0,2,0,0,0,0,2,0,7,5,0,0,0,6,27,0,0,0,0,0,51
,200C115R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C116R,6,0,0,1,14,1,0,1,2,33,22,0,163,1,0,0,0,25,214,3,2,0,2,0,490
