BM,CVIJANOVIC ZELJKA - SNSD-DNS-SP,IVANIC MLADEN - SAVEZ ZA PROMJENE,ZMIJANJAC GORAN - STRANKA PRAVEDNE POLITIKE,Ukupno
074B045B,64,149,7,220
074B046,141,204,2,347
074B047,81,232,4,317
074B048,270,209,4,483
074B049,140,130,5,275
081B000,0,0,0,0
081B001A,136,265,3,404
081B001B,154,197,5,356
081B002,115,211,1,327
081B003,121,105,2,228
081B004,181,185,17,383
081B005,172,176,1,349
083B000,0,0,0,0
083B001,212,251,16,479
083B002,212,204,19,435
083B003,240,188,18,446
083B004,189,217,13,419
083B005,162,179,20,361
083B006,123,180,9,312
083B007,240,235,8,483
083B008,140,219,15,374
083B009,167,222,22,411
083B010,172,232,15,419
083B011,78,21,5,104
083B012,53,109,6,168
083B013,96,52,4,152
083B014,7,55,1,63
083B015,91,129,11,231
083B016,149,124,11,284
083B017,193,157,12,362
083B018,46,49,0,95
083B019,90,129,22,241
083B020A,198,193,6,397
083B020B,264,260,9,533
083B020C,135,141,7,283
083B020D,189,220,4,413
083B021,191,243,15,449
083B022,217,178,17,412
083B023,26,156,10,192
083B024,188,119,5,312
083B025,101,96,16,213
083B026,27,22,3,52
083B027,237,184,15,436
083B028,140,16,2,158
083B029,126,81,3,210
083B030,254,148,7,409
083B031,210,112,3,325
083B032A,137,130,10,277
083B032B,127,129,8,264
083B033A,268,193,12,473
083B033B,196,134,8,338
083B033C,190,166,13,369
083B034A,291,149,10,450
083B034B,300,144,10,454
083B034C,68,60,1,129
083B035,97,163,15,275
083B036,395,145,19,559
083B037A,87,79,8,174
083B037B,73,64,6,143
083B037C,47,56,2,105
083B038,176,239,9,424
083B039,304,132,8,444
083B040,87,47,4,138
083B041A,205,86,0,291
083B041B,163,60,0,223
083B042,323,112,4,439
083B043,135,117,3,255
083B044,378,152,2,532
083B045A,349,139,0,488
083B045B,164,99,3,266
083B046,257,55,2,314
083B047,53,57,4,114
083B048,31,131,1,163
083B049,217,69,9,295
083B050A,209,122,5,336
083B050B,197,102,4,303
083B051,267,222,0,489
083B052,351,166,7,524
083B053A,180,93,9,282
083B053B,219,88,3,310
083B054,33,50,2,85
083B055,12,23,1,36
083B056A,22,119,4,145
083B056B,54,115,9,178
083B057,105,61,1,167
083B058,71,73,0,144
083B059,108,34,2,144
083B060A,163,357,16,536
083B060B,140,236,5,381
083B060C,137,200,6,343
083B061,75,103,8,186
083B062A,226,405,9,640
083B062B,125,162,6,293
083B063A,64,298,0,362
083B063B,74,423,5,502
083B064,130,166,8,304
083B065,143,175,6,324
083B066,140,190,17,347
083B067,69,70,5,144
088B000,0,0,0,0
088B001,71,24,0,95
088B002,23,23,2,48
088B003,261,111,9,381
088B004,185,74,5,264
088B005,306,197,13,516
088B006,199,193,17,409
088B007,197,118,20,335
088B008,49,27,3,79
088B009,275,238,16,529
088B010,292,143,11,446
088B011,35,25,1,61
088B012,174,166,7,347
088B013,163,54,4,221
088B014,98,58,2,158
088B015,217,207,1,425
088B016,77,59,0,136
088B017,287,243,9,539
088B018,325,175,17,517
088B019,124,108,5,237
088B020,257,164,14,435
101B000,0,0,0,0
101B001,163,173,5,341
101B002,250,111,4,365
101B003,184,130,3,317
101B004,109,117,2,228
101B005,104,73,2,179
101B006,109,105,0,214
101B007,45,47,1,93
101B008,92,142,2,236
101B009,172,144,4,320
101B010,107,109,4,220
101B011,80,137,0,217
101B012,11,22,0,33
101B013,68,16,0,84
101B014,178,183,5,366
101B015,145,126,1,272
101B016,74,67,4,145
101B017,216,217,5,438
101B018,152,109,4,265
103B000,0,0,0,0
103B001,177,190,5,372
103B002,223,236,15,474
103B003,215,286,7,508
103B004,174,268,12,454
103B005,163,248,5,416
103B006,152,263,5,420
103B007,108,123,0,231
103B008,77,117,2,196
103B009,188,265,9,462
103B010,49,173,3,225
103B011,89,123,0,212
103B012,172,173,4,349
103B013,129,105,8,242
103B014,104,121,3,228
103B015,27,38,1,66
103B016,30,43,2,75
103B017,235,375,3,613
104B000,0,0,0,0
104B001,205,166,0,371
104B002,42,56,10,108
104B003,47,140,4,191
104B004,76,138,1,215
104B005,79,67,1,147
104B006,123,57,3,183
104B007,155,108,2,265
104B008,92,41,0,133
104B009,107,197,8,312
104B010,178,262,9,449
104B011,111,133,5,249
104B012A,126,147,2,275
104B012B,108,110,3,221
104B013,146,156,4,306
104B014,182,187,7,376
104B015,158,221,3,382
104B016,62,123,7,192
104B017,33,112,0,145
104B018,86,113,3,202
104B019,144,170,4,318
104B020,131,157,2,290
104B021,23,60,0,83
104B022,50,175,4,229
104B023,33,76,0,109
104B024A,173,244,7,424
104B024B,185,191,3,379
104B025,29,73,0,102
104B026,15,66,4,85
104B027,77,59,1,137
104B028,68,102,1,171
104B029,74,133,1,208
104B030,19,42,0,61
104B031,15,28,8,51
105B000,0,0,0,0
105B001,65,68,5,138
105B002,128,181,9,318
105B003A,164,102,4,270
105B003B,174,130,5,309
105B003C,75,48,6,129
105B004,23,39,5,67
105B005,109,150,8,267
105B006,4,52,0,56
105B007A,84,146,7,237
105B007B,55,113,10,178
105B008,0,330,1,331
105B009,57,128,10,195
105B010,48,56,0,104
105B011,137,143,2,282
105B012A,148,102,5,255
105B012B,196,105,2,303
105B012C,83,60,2,145
105B013,88,84,2,174
105B014,135,63,4,202
105B015,229,121,2,352
105B016,12,42,2,56
105B017,46,37,1,84
105B018,61,45,0,106
105B019,3,31,0,34
105B020,26,36,1,63
105B021,3,53,0,56
105B022,120,63,3,186
108B000,0,0,0,0
108B001,122,61,4,187
121B000,0,3,0,3
121B001,234,302,14,550
121B002,174,257,13,444
121B003,139,128,2,269
121B004,150,249,6,405
121B005,69,127,4,200
121B006,52,107,1,160
121B007,105,141,4,250
121B008,61,107,6,174
121B009,179,306,10,495
121B010,212,270,5,487
121B011,225,391,19,635
121B012,39,39,2,80
121B013,95,91,1,187
121B014,37,74,0,111
121B015,19,35,0,54
121B016,72,60,0,132
121B017,69,90,2,161
121B018,223,318,9,550
121B019,162,317,8,487
121B020,209,373,11,593
121B021,164,182,11,357
121B022,176,289,12,477
123B000,0,0,0,0
123B001,259,298,4,561
123B002,265,281,5,551
123B003,126,88,1,215
123B004,172,144,5,321
123B005,66,49,2,117
123B006,44,41,4,89
123B007,61,70,4,135
123B008,65,32,2,99
123B009,22,23,0,45
132B000,0,0,0,0
132B001,247,167,18,432
132B002,213,194,8,415
132B003,268,264,14,546
132B004,246,168,8,422
132B005,104,63,1,168
132B006,198,86,6,290
132B007,199,115,13,327
132B008,193,218,13,424
132B009,212,214,15,441
132B010,100,138,10,248
132B011,391,198,18,607
132B012,261,140,5,406
132B013,284,173,6,463
132B014,296,236,16,548
132B015,326,234,17,577
132B016,266,144,6,416
132B017A,214,181,25,420
132B017B,169,120,3,292
132B018,300,145,8,453
132B019A,155,155,12,322
132B019B,163,167,17,347
132B020,123,115,8,246
138B000,0,0,0,0
138B001,80,195,0,275
138B002,99,218,2,319
138B003,89,88,0,177
138B004,11,29,2,42
140B000,0,0,0,0
140B001,200,91,7,298
140B002,278,192,13,483
140B003,318,178,12,508
140B004,416,274,6,696
140B005,82,100,6,188
140B006,259,116,7,382
140B007,296,116,4,416
140B008,368,247,12,627
140B009,273,198,17,488
140B010,304,184,12,500
140B011,283,199,7,489
140B012,288,172,15,475
140B013,278,172,18,468
140B014,174,102,7,283
142B000,0,0,0,0
142B001,304,263,11,578
142B002,104,81,2,187
142B003,60,54,1,115
142B004,2,4,0,6
144B000,0,0,0,0
144B001A,182,235,7,424
144B001B,89,176,2,267
144B002A,168,260,15,443
144B002B,105,156,6,267
144B003A,152,185,7,344
144B003B,162,173,9,344
144B004,225,326,8,559
144B005,137,242,8,387
144B006,217,300,10,527
144B007,243,327,17,587
144B008,132,218,8,358
144B009,21,72,2,95
144B010,25,18,2,45
144B011,75,57,0,132
144B012,216,241,17,474
144B013,61,60,3,124
144B014A,257,263,6,526
144B014B,162,229,10,401
144B014C,114,98,4,216
144B015,174,181,8,363
144B016,70,99,3,172
144B017,31,56,3,90
144B018,26,58,0,84
144B019,11,19,3,33
144B020,7,22,0,29
144B021,10,9,1,20
144B022,3,33,1,37
144B023,175,253,12,440
144B024,25,34,0,59
144B025,10,10,0,20
144B026,184,192,13,389
144B027,17,33,3,53
144B028,205,233,10,448
144B029,209,268,15,492
144B030,225,306,10,541
144B031,168,255,1,424
144B032,205,216,16,437
144B033,54,139,7,200
144B034,150,204,14,368
146B000,0,0,0,0
146B001,17,24,0,41
146B002,39,97,0,136
146B003,139,177,3,319
146B004,53,60,2,115
146B005,54,48,3,105
146B006,86,91,0,177
146B007,49,80,1,130
146B008,13,9,0,22
146B009,37,83,0,120
146B010,75,133,0,208
146B011,30,50,1,81
146B012,38,45,0,83
146B013,13,39,2,54
146B014,24,25,3,52
146B015,159,146,4,309
146B016A,144,213,5,362
146B016B,155,179,12,346
146B017,249,167,10,426
146B018,217,246,12,475
146B019,321,300,17,638
146B020,262,293,9,564
146B021,238,249,9,496
146B022,206,208,7,421
146B023,95,89,2,186
146B024,142,144,4,290
147B000,0,0,0,0
147B001,280,215,7,502
147B002,332,218,7,557
147B003,353,218,8,579
147B004,99,149,2,250
147B005,151,162,1,314
147B006,273,157,8,438
147B007,256,157,5,418
147B008,12,36,0,48
147B009,52,68,0,120
147B010,119,56,3,178
147B011,49,40,0,89
147B012,48,51,1,100
147B013,230,162,2,394
147B014,114,145,1,260
147B015,96,83,3,182
147B016,49,28,0,77
147B017,37,6,0,43
147B018,17,21,2,40
147B019,200,145,0,345
147B020,7,47,2,56
147B022,167,145,5,317
147B023,215,109,3,327
147B024,185,161,2,348
147BO21,275,183,4,462
158B000,0,0,0,0
158B001,30,73,1,104
161B000,0,0,0,0
161B001,171,80,7,258
161B002,273,184,4,461
161B003A,183,130,3,316
161B003B,180,142,9,331
161B004,214,228,11,453
161B005,251,233,8,492
161B006,149,159,7,315
161B007,335,228,3,566
161B008,141,80,9,230
161B009,161,59,0,220
161B010,19,22,0,41
161B011,59,61,2,122
161B012,48,30,0,78
161B013,18,11,0,29
161B014,105,58,2,165
161B015,36,59,0,95
161B016,59,85,9,153
161B017,65,59,2,126
161B018,28,37,1,66
161B019,27,22,3,52
161B020,56,51,0,107
161B021,44,10,0,54
161B022,20,11,0,31
161B023,38,33,2,73
161B024,108,48,1,157
161B025,118,93,3,214
161B026,231,170,8,409
161B027,298,292,14,604
161B028,169,54,7,230
161B029,19,9,0,28
161B030,252,154,11,417
161B031,126,114,6,246
163B000,0,0,0,0
163B001,252,189,6,447
163B002,75,30,1,106
163B003,25,9,1,35
163B004,27,16,0,43
163B005,32,19,0,51
163B006,2,3,0,5
163B007,14,11,2,27
163B008,21,8,0,29
163B009,4,15,1,20
163B010,20,25,1,46
163B011,6,21,0,27
163B012,321,220,8,549
163B013,10,2,0,12
164B000,0,0,0,0
164B001,238,224,6,468
164B002,324,264,12,600
164B003,346,299,8,653
164B004,265,366,9,640
164B005,248,293,10,551
164B006,392,237,14,643
164B007,35,46,0,81
164B008,148,196,5,349
164B009,13,27,0,40
164B010,7,15,0,22
164B011,2,14,0,16
164B012,74,96,1,171
164B013,18,27,0,45
164B014,57,62,0,119
164B015,62,107,2,171
164B016,36,45,2,83
164B017,95,112,1,208
164B018,192,177,5,374
164B019,83,126,1,210
164B020,5,24,2,31
164B021,211,171,3,385
166B000,0,0,0,0
166B001,287,214,21,522
166B002,51,70,7,128
166B003,91,98,2,191
166B004,68,86,4,158
166B005,17,8,1,26
166B006,23,34,0,57
166B007,54,83,5,142
166B008,323,250,9,582
166B009,54,39,1,94
166B010,179,218,16,413
166B011,118,159,6,283
166B012,65,77,5,147
166B013,61,27,0,88
166B014,73,69,2,144
166B015,20,36,1,57
166B016,9,3,0,12
166B017,21,17,2,40
166B018,61,134,1,196
166B019,227,222,22,471
166B020,208,197,13,418
166B021,306,284,16,606
166B022,174,232,13,419
166B023,298,282,16,596
166B024,288,198,9,495
166B025,222,266,12,500
166B026,272,320,20,612
166B027,135,149,6,290
166B028,236,291,8,535
166B029A,254,280,12,546
166B029B,234,213,5,452
166B030A,188,178,6,372
166B030B,144,224,2,370
166B031,212,284,9,505
166B032,1,32,0,33
166B033,12,31,2,45
168B000,0,0,0,0
168B001,20,71,4,95
168B002,54,78,3,135
168B003,55,158,4,217
168B004,157,309,3,469
168B005,75,65,3,143
169B000,0,0,0,0
169B001,299,215,8,522
169B002,329,229,5,563
169B003,181,131,3,315
169B004,119,127,4,250
169B005,107,86,3,196
169B006,58,41,1,100
169B007,27,9,0,36
169B008,32,47,0,79
169B009,33,24,3,60
169B010,42,42,0,84
169B011,6,6,0,12
169B012,39,35,0,74
169B013,27,6,0,33
169B014,22,14,0,36
169B015,14,5,0,19
169B016,1,7,0,8
169B017,24,32,1,57
170B000,0,0,0,0
170B001,151,82,5,238
170B002,219,122,8,349
170B003,58,42,3,103
170B004,20,37,2,59
170B005,15,23,1,39
170B006,21,13,3,37
170B007,69,49,2,120
170B008,156,81,0,237
170B009,184,183,9,376
170B010,53,62,0,115
170B011,35,21,0,56
170B012,221,142,7,370
170B013,61,16,0,77
170B014,76,48,3,127
170B015,110,40,5,155
170B016,177,144,12,333
170B017,170,115,8,293
177B000,0,0,0,0
177B001,213,173,3,389
177B002,48,52,2,102
177B003,61,60,0,121
177B004,80,79,1,160
177B005,22,28,0,50
177B006,33,20,2,55
177B007,103,98,2,203
179B000,0,0,0,0
179B001,45,23,0,68
179B002,2,9,1,12
179B003,16,3,0,19
179B004,18,4,0,22
179B005,18,18,1,37
179B006,8,12,0,20
179B007,30,30,1,61
179B008,13,81,1,95
179B009,8,11,0,19
179B010,15,25,1,41
179B011,273,351,8,632
179B012,190,217,3,410
179B013,201,314,8,523
179B014,44,35,3,82
180B000,0,0,0,0
180B001,148,88,6,242
180B002,194,152,3,349
180B003,137,188,5,330
180B004,260,244,13,517
180B005,307,240,8,555
180B006,294,237,6,537
180B007,45,31,0,76
180B008,26,29,0,55
180B009,25,22,0,47
180B010,52,43,0,95
180B011,40,41,0,81
180B012,17,26,0,43
180B013,237,212,5,454
180B014,103,194,1,298
180B015,102,102,0,204
180B016,38,43,1,82
180B017,123,94,1,218
180B018,85,49,1,135
180B019,45,58,4,107
180B020,160,101,4,265
180B021,290,201,10,501
180B022,236,231,11,478
180B023,235,191,6,432
180B024,219,151,4,374
180B025,248,171,2,421
182B000,0,0,0,0
182B001,212,138,17,367
182B002,277,159,9,445
182B003,351,224,7,582
182B004,138,113,3,254
182B005,278,222,14,514
182B006,260,192,9,461
182B007,230,170,5,405
182B008,271,194,18,483
182B009,300,218,13,531
182B010,359,268,16,643
182B011,227,190,15,432
182B012,294,242,13,549
182B013,291,172,13,476
182B014,108,115,7,230
182B015,152,126,4,282
182B016,323,293,12,628
182B017,179,158,7,344
182B018,189,165,11,365
182B019,121,85,8,214
182B020,32,114,0,146
182B021,54,76,2,132
182B022,96,89,1,186
182B023,77,49,1,127
182B024,76,63,2,141
182B025,244,233,8,485
182B026A,193,119,3,315
182B026B,219,173,9,401
182B027,238,214,15,467
182B028,335,263,15,613
182B029,264,217,12,493
182B030,166,169,10,345
182B031,224,162,9,395
182B032,211,177,11,399
182B033,299,174,9,482
182B034,226,173,6,405
182B035,254,225,8,487
182B036,299,238,17,554
182B037,212,158,8,378
182B038,293,183,7,483
182B039,160,105,7,272
182B040,142,100,9,251
182B041,147,138,8,293
182B042,190,193,8,391
184B000,0,0,0,0
184B001,271,217,14,502
184B002,91,196,9,296
184B003,182,172,6,360
184B004,143,106,5,254
184B005,77,97,6,180
184B006,32,36,1,69
184B007,21,35,2,58
184B008,33,19,0,52
184B009,15,12,1,28
184B010,12,11,1,24
184B011,35,17,0,52
184B012,299,199,15,513
184B013,38,212,6,256
185B000,0,0,0,0
185B001,266,179,12,457
185B002,252,237,16,505
185B003,196,190,12,398
185B004,136,130,4,270
185B005,103,88,11,202
185B006,166,122,6,294
185B007,150,111,7,268
185B008,90,48,1,139
185B009,213,181,7,401
185B010,39,61,2,102
185B011,299,218,10,527
185B012,14,118,6,138
185B013,274,250,19,543
185B014,121,119,3,243
200C001R,92,105,4,201
200C002R,36,74,1,111
200C003R,31,69,2,102
200C004R,27,34,3,64
200C005R,20,7,2,29
200C006R,64,100,6,170
200C007R,52,85,8,145
200C008R,63,64,5,132
200C009R,63,88,3,154
200C010R,0,1,0,1
200C011R,0,0,1,1
200C012R,62,123,3,188
200C013R,18,80,5,103
200C014BR,4,10,0,14
200C015R,2,3,1,6
200C016R,0,19,4,23
200C017R,0,3,1,4
200C018R,12,20,0,32
200C019R,94,53,1,148
200C020R,37,60,0,97
200C021R,65,121,1,187
200C022R,39,68,2,109
200C023R,43,81,5,129
200C024R,82,99,12,193
200C025R,96,108,9,213
200C026R,74,123,8,205
200C027R,65,69,3,137
200C028R,53,74,10,137
200C029R,14,37,2,53
200C030R,40,66,8,114
200C031R,14,17,1,32
200C032R,27,53,5,85
200C033R,9,28,2,39
200C035R,4,7,1,12
200C036R,1,2,1,4
200C037R,0,0,0,0
200C038R,169,265,12,446
200C039R,12,19,0,31
200C040R,0,0,0,0
200C041R,1,1,0,2
200C042R,59,46,4,109
200C043R,25,33,3,61
200C044R,27,18,1,46
200C045R,0,1,0,1
200C046R,21,60,3,84
200C047R,87,154,4,245
200C048BR,0,1,1,2
200C049R,1,0,0,1
200C050R,237,306,7,550
200C051R,83,109,7,199
200C052R,51,91,3,145
200C053R,67,145,6,218
200C054R,70,104,2,176
200C055R,74,127,2,203
200C056R,172,223,8,403
200C057R,208,267,15,490
200C058R,17,32,2,51
200C059R,2,6,0,8
200C060R,0,6,1,7
200C061R,0,8,1,9
200C062R,39,44,5,88
200C063R,19,32,8,59
200C064R,23,97,0,120
200C065R,51,93,0,144
200C066R,6,15,4,25
200C067BR,1,1,0,2
200C068R,7,13,0,20
200C069R,17,18,2,37
200C070R,5,17,1,23
200C071R,33,42,5,80
200C072R,16,32,2,50
200C073R,0,3,0,3
200C074R,0,8,0,8
200C075R,1,1,1,3
200C076R,0,1,0,1
200C077R,29,69,0,98
200C078R,115,244,7,366
200C079R,0,1,0,1
200C080R,0,0,0,0
200C081R,1,3,0,4
200C082R,37,55,3,95
200C083R,1,11,0,12
200C084R,66,149,2,217
200C085R,0,1,0,1
200C086R,41,85,5,131
200C087R,62,87,6,155
200C088R,76,110,5,191
200C089R,113,110,9,232
200C090R,132,133,8,273
200C091R,35,84,4,123
200C092R,0,0,0,0
200C093R,6,7,1,14
200C094R,70,129,2,201
200C095R,0,1,0,1
200C096R,59,59,0,118
200C097R,16,29,0,45
200C098R,0,0,0,0
200C099R,5,27,0,32
200C100R,48,62,1,111
200C101R,0,1,0,1
200C102R,0,1,0,1
200C103R,54,52,1,107
200C104R,0,5,0,5
200C105R,0,6,0,6
200C106R,84,70,3,157
200C108R,29,89,3,121
200C109R,3,12,1,16
200C110R,13,47,0,60
200C111R,6,10,1,17
200C112R,1,2,1,4
200C113R,58,99,8,165
200C114R,9,26,1,36
200C115R,0,0,0,0
200C116R,214,263,10,487
